,Postalcode,name,categories,address,crossStreet,distance,formattedAddress,lat,lng,state,id
27,M5H,Barristers Bar,Restaurant,145 Richmond Street West,Hilton Toronto,131.0,"['145 Richmond Street West (Hilton Toronto)', 'Toronto ON M5H 2L2', 'Canada']",43.64979669604817,-79.3858073393927,ON,50ca02be245f2d4aa8c2ab5b
28,M5X,Reds Wine Tavern,Gastropub,77 Adelaide Street West,near Bay Street,127.0,"['77 Adelaide Street West (near Bay Street)', 'Toronto ON M5X 1B1', 'Canada']",43.64957038171473,-79.38212873483711,ON,4ad4c05df964a52026f620e3
29,M5L,Ki Modern Japanese + Bar,Japanese Restaurant,181 Bay St,at Wellington St. W,126.0,"['181 Bay St (at Wellington St. W)', 'Toronto ON M5J 2T3', 'Canada']",43.64710349021134,-79.37938978621831,ON,4ae73054f964a5203ca921e3
30,M5X,Earls Kitchen & Bar,Bar,150 King St. W.,at York St.,126.0,"['150 King St. W. (at York St.)', 'Toronto ON M5H 2B6', 'Canada']",43.647945662980305,-79.3837058277153,ON,4d2b615e342d6dcb2b8115cb
31,M5K,Stratus,Restaurant,79 Wellington St W,at Piper St,126.0,"['79 Wellington St W (at Piper St)', 'Toronto ON M5K 1J5', 'Canada']",43.64618144730835,-79.38080934737143,ON,4b231e82f964a5208e5324e3
32,M5C,B.L.D Restaurant,New American Restaurant,36 Toronto St,Adelaide,122.0,"['36 Toronto St (Adelaide)', 'Toronto ON', 'Canada']",43.6508315945072,-79.37663892404116,ON,4c38f3fc0a71c9b6f6ad41c9
33,M5T,Yoo J Express Restaurant (Purple Place! ),Chinese Restaurant,280 Spadina Ave,Dundas St.,116.0,"['280 Spadina Ave (Dundas St.)', 'Toronto ON', 'Canada']",43.652564476551404,-79.3989031071905,ON,51b604a0498e2384782ee1ef
34,M6J,Moliceiro Restaurant,Portuguese Restaurant,"217 Ossington Ave,",Dundas and Ossington,115.0,"['217 Ossington Ave, (Dundas and Ossington)', 'Toronto ON M6J 2Z8', 'Canada']",43.648816,-79.420487,ON,57b88065498eab22ccdd78d8
35,M6J,Pho Rua Vang (Golden Turtle),Vietnamese Restaurant,125 Ossington Ave.,at Argyle St.,115.0,"['125 Ossington Ave. (at Argyle St.)', 'Toronto ON M6J 2Z2', 'Canada']",43.64689319654605,-79.41977781583955,ON,4ae86cb3f964a5203eaf21e3
36,M5C,Golden Thai Restaurant,Thai Restaurant,105 Church St,at Richmond St E,114.0,"['105 Church St (at Richmond St E)', 'Toronto ON M5C 2G3', 'Canada']",43.65252473089013,-79.37536916039467,ON,4ad4c061f964a520a7f720e3
37,M5T,The Boat Restaurant,Nightclub,158 Augusta Ave,Dundas St W,113.0,"['158 Augusta Ave (Dundas St W)', 'Toronto ON M5T 2L5', 'Canada']",43.652938231333486,-79.40141026049001,ON,4ad4c05ff964a52040f720e3
38,M4P,Homeway Restaurant & Brunch,Breakfast Spot,955 Mount Pleasant,Mount Pleasant & Erskine,110.0,"['955 Mount Pleasant (Mount Pleasant & Erskine)', 'Toronto ON M4P 2L7', 'Canada']",43.71264120397444,-79.39155655199944,ON,4adb2fd3f964a520c42421e3
39,M5H,Tundra Restaurant,Restaurant,145 Richmond Street West,Hilton Toronto,104.0,"['145 Richmond Street West (Hilton Toronto)', 'Toronto ON M5H 2L2', 'Canada']",43.650009987649646,-79.38560774268629,ON,50ca02c0245f2d4aa8c2b313
40,M6J,Foxley Bistro,Asian Restaurant,207 Ossington Ave,Dundas,99.0,"['207 Ossington Ave (Dundas)', 'Toronto ON M6J 2Z8', 'Canada']",43.648642746283834,-79.42049525794245,ON,4af369d0f964a52060ed21e3
41,M5T,Sang Ho Seafood Restaurant,Chinese Restaurant,536 Dundas St W,Dundas/Spadina,97.0,"['536 Dundas St W (Dundas/Spadina)', 'Toronto ON', 'Canada']",43.65274725995042,-79.39902086744584,ON,4b772c00f964a52097842ee3
42,M5C,L'Apero Restaurant,Restaurant,81 Church Street,,88.0,"['81 Church Street', 'Toronto ON', 'Canada']",43.65182,-79.37441,ON,4dff2649d22d48be8127cd1c
43,M5L,Jump,American Restaurant,18 Wellington St. W,btwn. Yonge St. and Bay St.,85.0,"['18 Wellington St. W (btwn. Yonge St. and Bay St.)', 'Toronto ON M5L 1G4', 'Canada']",43.64814738516352,-79.37875242540652,ON,4ad4c060f964a52057f720e3
44,M5C,NAMI,Japanese Restaurant,55 Adelaide Street East,at Church street,80.0,"['55 Adelaide Street East (at Church street)', 'Toronto ON M5C 1K6', 'Canada']",43.650853361785124,-79.37588746641697,ON,4b999927f964a5207c8635e3
45,M5T,Kim Vietnamese Restaurant,Vietnamese Restaurant,546 Dundas St W,,74.0,"['546 Dundas St W', 'Toronto ON M5T 1H3', 'Canada']",43.652748,-79.399377,ON,59eccc99dff8150ccdd70355
46,M5C,Terroni,Italian Restaurant,57 Adelaide St. E,at Church St.,64.0,"['57 Adelaide St. E (at Church St.)', 'Toronto ON M5C 1K6', 'Canada']",43.650927,-79.375602,ON,4b49183ff964a520a46526e3
47,M5A,Morning Glory Cafe,Breakfast Spot,457 King St. E,Gilead Place,54.0,"['457 King St. E (Gilead Place)', 'Toronto ON M5A 1L6', 'Canada']",43.653946942635294,-79.36114884214422,ON,4ae5b91ff964a520a6a121e3
48,M6H,Morningstar Restaurant,Portuguese Restaurant,Look At Map,,52.0,"['Look At Map', 'Canada']",43.66946775351141,-79.44236092654447,,4ee78a9fe5fa8944acb5f2de
49,M5T,Kensington Cornerstone Restaurant,Breakfast Spot,2A Kensington Ave.,Dundas St. W,45.0,"['2A Kensington Ave. (Dundas St. W)', 'Toronto ON M5T 2J7', 'Canada']",43.65280330843737,-79.39995806711424,ON,4bce1ec0cc8cd13a9ac8c3cf
50,M5K,Canoe,Restaurant,66 Wellington St West,at Bay Street,36.0,"['66 Wellington St West (at Bay Street)', 'Toronto ON M5K 1H6', 'Canada']",43.647452066183476,-79.38132001815676,ON,4ad4c05df964a52059f620e3
51,M6G,Empire Restaurant and Lounge,Nightclub,50 Cumberland Street,Between Yonge and Bay,36.0,"['50 Cumberland Street (Between Yonge and Bay)', 'Toronto ON M4W 1J5', 'Canada']",43.66927199587462,-79.42283025079402,ON,4de939f5814d89ee7e821c5d
